#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
44.8 45.2774 29.749 5.24968 443.411
44.9 35.3365 12.447 2.70379 460.713
45 2.91078e-13 6.48516 1.70152e-14 466.675
45.1 144.664 12.447 177.296 460.713
45.2 134.723 29.749 174.75 443.411
45.3 135.033 56.6975 172.529 416.463
45.4 139.076 90.6545 170.816 382.506
45.5 144.755 128.296 169.811 344.864
45.6 151.249 165.938 169.724 307.222
45.7 158.179 199.895 170.734 273.265
45.8 165.349 226.843 172.918 246.317
45.9 172.647 244.145 176.144 229.015
46 180 250.107 180 223.053
46.1 7.35319 244.145 3.85599 229.015
46.2 14.651 226.843 7.08222 246.317
46.3 21.8212 199.895 9.26602 273.265
46.4 28.7513 165.938 10.2759 307.222
46.5 35.2449 128.296 10.1886 344.864
46.6 40.9237 90.6545 9.18413 382.506
46.7 44.9673 56.6975 7.4708 416.463
46.8 45.2774 29.749 5.24968 443.411
46.9 35.3365 12.447 2.70379 460.713
47 180 6.48516 180 466.675
47.1 144.664 12.447 177.296 460.713
47.2 134.723 29.749 174.75 443.411
47.3 135.033 56.6975 172.529 416.463
47.4 139.076 90.6545 170.816 382.506
47.5 144.755 128.296 169.811 344.864
47.6 151.249 165.938 169.724 307.222
47.7 158.179 199.895 170.734 273.265
47.8 165.349 226.843 172.918 246.317
47.9 172.647 244.145 176.144 229.015
48 180 250.107 180 223.053
48.1 7.35319 244.145 3.85599 229.015
48.2 14.651 226.843 7.08222 246.317
48.3 21.8212 199.895 9.26602 273.265
48.4 28.7513 165.938 10.2759 307.222
48.5 35.2449 128.296 10.1886 344.864
48.6 40.9237 90.6545 9.18413 382.506
48.7 44.9673 56.6975 7.4708 416.463
48.8 45.2774 29.749 5.24968 443.411
48.9 35.3365 12.447 2.70379 460.713
49 2.47628e-12 6.48516 1.44753e-13 466.675
49.1 144.664 12.447 177.296 460.713
49.2 134.723 29.749 174.75 443.411
49.3 135.033 56.6975 172.529 416.463
49.4 139.076 90.6545 170.816 382.506
49.5 144.755 128.296 169.811 344.864
49.6 151.249 165.938 169.724 307.222
49.7 158.179 199.895 170.734 273.265
49.8 165.349 226.843 172.918 246.317
49.9 172.647 244.145 176.144 229.015
50 2.30164e-14 250.107 1.2411e-14 223.053
50.1 7.35319 244.145 3.85599 229.015
50.2 14.651 226.843 7.08222 246.317
50.3 21.8212 199.895 9.26602 273.265
50.4 28.7513 165.938 10.2759 307.222
50.5 35.2449 128.296 10.1886 344.864
50.6 40.9237 90.6545 9.18413 382.506
50.7 44.9673 56.6975 7.4708 416.463
50.8 45.2774 29.749 5.24968 443.411
50.9 35.3365 12.447 2.70379 460.713
51 1.4565e-12 6.48516 8.51407e-14 466.675
51.1 144.664 12.447 177.296 460.713
51.2 134.723 29.749 174.75 443.411
