#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
31.1 146.376 13.0249 177.344 457.935
31.2 136.107 29.971 174.845 440.989
31.3 136.034 56.3653 172.668 414.595
31.4 139.81 89.6241 170.993 381.336
31.5 145.298 126.492 170.018 344.468
31.6 151.645 163.359 169.945 307.601
31.7 158.458 196.618 170.945 274.342
31.8 165.527 223.012 173.088 247.948
31.9 172.733 239.959 176.24 231.002
32 180 245.798 180 225.162
32.1 7.26667 239.959 3.75974 231.002
32.2 14.4733 223.012 6.91197 247.948
32.3 21.5425 196.618 9.05476 274.342
32.4 28.3546 163.359 10.055 307.601
32.5 34.7023 126.492 9.98183 344.468
32.6 40.1896 89.6241 9.00693 381.336
32.7 43.9656 56.3653 7.33246 414.595
32.8 43.893 29.971 5.15534 440.989
32.9 33.6244 13.0249 2.65608 457.935
33 6.75777e-14 7.1856 4.17127e-15 463.774
33.1 146.376 13.0249 177.344 457.935
33.2 136.107 29.971 174.845 440.989
33.3 136.034 56.3653 172.668 414.595
33.4 139.81 89.6241 170.993 381.336
33.5 145.298 126.492 170.018 344.468
33.6 151.645 163.359 169.945 307.601
33.7 158.458 196.618 170.945 274.342
33.8 165.527 223.012 173.088 247.948
33.9 172.733 239.959 176.24 231.002
34 6.813e-14 245.798 3.62299e-14 225.162
34.1 7.26667 239.959 3.75974 231.002
34.2 14.4733 223.012 6.91197 247.948
34.3 21.5425 196.618 9.05476 274.342
34.4 28.3546 163.359 10.055 307.601
34.5 34.7023 126.492 9.98183 344.468
34.6 40.1896 89.6241 9.00693 381.336
34.7 43.9656 56.3653 7.33246 414.595
34.8 43.893 29.971 5.15534 440.989
34.9 33.6244 13.0249 2.65608 457.935
35 1.08415e-12 7.1856 6.692e-14 463.774
35.1 146.376 13.0249 177.344 457.935
35.2 136.107 29.971 174.845 440.989
35.3 136.034 56.3653 172.668 414.595
35.4 139.81 89.6241 170.993 381.336
35.5 145.298 126.492 170.018 344.468
35.6 151.645 163.359 169.945 307.601
35.7 158.458 196.618 170.945 274.342
35.8 165.527 223.012 173.088 247.948
35.9 172.733 239.959 176.24 231.002
36 180 245.798 180 225.162
36.1 7.26667 239.959 3.75974 231.002
36.2 14.4733 223.012 6.91197 247.948
36.3 21.5425 196.618 9.05476 274.342
36.4 28.3546 163.359 10.055 307.601
36.5 34.7023 126.492 9.98183 344.468
36.6 40.1896 89.6241 9.00693 381.336
36.7 43.9656 56.3653 7.33246 414.595
36.8 43.893 29.971 5.15534 440.989
36.9 33.6244 13.0249 2.65608 457.935
37 1.35327e-13 7.1856 8.35311e-15 463.774
37.1 146.376 13.0249 177.344 457.935
37.2 136.107 29.971 174.845 440.989
37.3 136.034 56.3653 172.668 414.595
37.4 139.81 89.6241 170.993 381.336
37.5 145.298 126.492 170.018 344.468
37.6 151.645 163.359 169.945 307.601
37.7 158.458 196.618 170.945 274.342
37.8 165.527 223.012 173.088 247.948
37.9 172.733 239.959 176.24 231.002
38 180 245.798 180 225.162
38.1 7.26667 239.959 3.75974 231.002
38.2 14.4733 223.012 6.91197 247.948
38.3 21.5425 196.618 9.05476 274.342
38.4 28.3546 163.359 10.055 307.601
38.5 34.7023 126.492 9.98183 344.468
38.6 40.1896 89.6241 9.00693 381.336
38.7 43.9656 56.3653 7.33246 414.595
38.8 43.893 29.971 5.15534 440.989
38.9 33.6244 13.0249 2.65608 457.935
39 1.1519e-12 7.1856 7.11019e-14 463.774
39.1 146.376 13.0249 177.344 457.935
39.2 136.107 29.971 174.845 440.989
39.3 136.034 56.3653 172.668 414.595
39.4 139.81 89.6241 170.993 381.336
39.5 145.298 126.492 170.018 344.468
39.6 151.645 163.359 169.945 307.601
39.7 158.458 196.618 170.945 274.342
39.8 165.527 223.012 173.088 247.948
39.9 172.733 239.959 176.24 231.002
40 180 245.798 180 225.162
40.1 7.26667 239.959 3.75974 231.002
40.2 14.4733 223.012 6.91197 247.948
